Name;Position;Team ;Games Played;Minutes;Points;Field Goal%;3Point%;FreeThrow%;Assists;Blocks;Steals;Rebounds;Turnovers;Salary
Stephen Curry;PG;GSW;51;1,631;1,346;49.54;42.32;92.05;309;8;80;261;153;$34,682,550 
LeBron James;SF;CLE;82;3,025;2,251;54.24;36.70;73.07;747;71;116;710;348;$33,285,709 (2)
Paul Millsap;PF;DEN;38;1,143;555;46.44;34.51;69.57;103;44;39;245;74;$30,769,231 (3)
Blake Griffin;PF;DET;58;1,969;1,242;43.78;34.47;78.48;334;18;41;428;166;$29,727,900 (4)
Kyle Lowry;PG;TOR;78;2,509;1,267;42.69;39.93;85.44;537;19;85;434;183;$28,703,704 (5)
Mike Conley;PG;MEM;12;373;205;38.10;31.17;80.30;49;3;12;27;18;$28,530,608 (6)
Russell Westbrook;PG;OKC;80;2,913;2,028;44.87;29.75;73.67;820;20;147;804;382;$28,530,608 (6)
James Harden;SG;HOU;72;2,548;2,191;44.93;36.70;85.83;629;50;126;388;315;$28,299,399 (8)
DeMar DeRozan;SG;TOR;80;2,711;1,84;45.62;31.01;82.47;417;22;85;315;175;$27,739,975 (9)
Al Horford;C;BOS;72;2,277;927;48.87;42.92;78.33;339;79;43;530;132;$27,734,405 (10)
Carmelo Anthony;SF;OKC;78;2,502;1,261;40.41;35.65;76.68;103;49;47;453;100;$26,243,760 (11)
Damian Lillard;PG;POR;73;2,669;1,962;43.92;36.15;91.64;481;27;78;325;205;$26,153,057 (12)
Jrue Holiday;PG;NOP;81;2,926;1,537;49.44;33.71;78.57;486;64;122;366;213;$25,686,667 (13)
Kevin Durant;SF;GSW;68;2,325;1,792;51.55;41.89;88.86;366;119;50;464;207;$25,000,000 (14)
Otto Porter Jr.;SF;WAS;77;2,431;1,134;50.28;44.09;82.81;157;41;116;492;75;$24,773,250 (15)
Chris Paul;PG;HOU;58;1,846;1,081;45.99;37.99;91.86;458;14;96;313;128;$24,599,459 (16)
C.J. McCollum;SG;POR;81;2,923;1,732;44.32;39.71;83.60;272;35;77;321;152;$23,962,572 (17)
Bradley Beal;SG;WAS;82;2,977;1,857;46.02;37.55;79.13;373;36;97;363;214;$23,775,506 (18)
Anthony Davis;PF;NOP;75;2,727;2,11;53.35;33.95;82.78;174;193;115;832;162;$23,775,506 (18)
Andre Drummond;C;DET;78;2,625;1,171;52.83;0.00;60.51;237;129;114;1,248;202;$23,775,506 (18)
Hassan Whiteside;C;MIA;54;1,364;754;53.89;100.00;70.33;54;94;38;618;93;$23,775,506 (18)
Dwight Howard;C;CHA;81;2,463;1,347;55.54;14.29;57.39;105;131;47;1,012;208;$23,500,000 (22)
Harrison Barnes;SF;DAL;77;2,635;1,452;44.45;35.74;82.75;152;14;49;468;118;$23,112,004 (23)
Chandler Parsons;SF;MEM;36;690;284;46.15;42.15;62.96;69;11;18;90;35;$23,112,004 (23)
J.J. Redick;SG;PHI;70;2,115;1,198;45.91;41.96;90.37;210;6;35;178;103;$23,000,000 (25)
Kevin Love;C;CLE;59;1,651;1,039;45.75;41.52;87.97;103;24;43;545;90;$22,642,350 (26)
Brook Lopez;C;LAL;74;1,735;961;46.47;34.46;70.25;126;98;30;294;98;$22,642,350 (26)
